Condition,Item,ItemNum,List,Order,RT,Response,Likely_intended_production,Likely_Intended_Production_Split,Words_in_Intended_Production,Form_of_Intended_Production,Subject_is_Well_Formed,Verb_is_Well_Formed,Post-Verb_is_Well_Formed,Target,target_subj_noun,target_verb,target_obj_noun,target_other,Run,SubjID,TrialNumber,TrialOnset
SPROD,4858197102.jpg,103,2,7,0,crying baby,crying baby,crying/ baby,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A man is holding a (newborn) baby.,man,holding,baby,,5,FED_20191120d_3T2,28,165
SPROD,6338733.jpg,84,2,7,0,holding a sign,holding a sign,/holding/ a sign,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is holding a stop sign.,woman,holding,stop sign,,5,FED_20191120d_3T2,29,172
SPROD,5411504795.jpg,124,2,7,0,sniffing flower,sniffing flower,/sniffing/ flower,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A little girl is smelling a flower.,girl,smelling,flower,,5,FED_20191120d_3T2,30,179
SPROD,7380263314.jpg,1,1,9,0,firl platimg,girl playing,girl /playing,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A girl is digging sand at the beach.,girl,digging,sand,beach/shovel,4,FED_20200130a_3T2,6,28
SPROD,6110845331.jpg,24,1,9,0,"giorl; paom,tio,h",girl painting,girl /painting,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A girl is coloring with crayons (on the floor?).,girl,coloring,,crayons/floor,4,FED_20200130a_3T2,7,35
SPROD,4896173039.jpg,22,1,9,0,lsfdu trsfimg,woman reading,woman /reading,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A woman is reading a book.,woman,reading,book,outside,4,FED_20200130a_3T2,8,42
SPROD,7028846053.jpg,42,1,9,0,"l;sdfu rstio,g",woman eating,woman /eating,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A woman is eating noodles (from a bowl).,woman,eating,noodles,bowl/chopsticks,4,FED_20200130a_3T2,9,49
SPROD,6225280494.jpg,9,1,9,0,",am ju,oimh",man jumping,man /jumping,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A man is jumping over a hurdle.,man,jumping,,hurdle,4,FED_20200130a_3T2,43,246
SPROD,6915574150.jpg,6,1,9,0,vjiolf bridjimh,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,4,FED_20200130a_3T2,44,253
SPROD,807129.jpg,47,1,9,0,",an fgikhy",man flute,man// flute,2+,Noun Phrase,0,NA,0,A man is playing the flute.,man,playing/sitting,flute,outside,4,FED_20200130a_3T2,45,260
SPROD,4607606901.jpg,3,1,9,0,git paeeimg voe,girl petting doe,girl /petting/ doe,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A (young) girl is petting a deer.,girl,petting,deer,,4,FED_20200130a_3T2,46,267
SPROD,3819214047.jpg,59,1,6,0,a kid is sitting on a skateboard,a kid is sitting on a skateboard,a kid /is sitting /on a skateboard,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,6,FED_20200205a_3T2,6,44
SPROD,5534793306.jpg,48,1,6,0,a man is painting a pillar of building exterior,a man is painting a pillar of building exterior,a man /is painting/ a pillar of building exterior,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A man is painting a column (on a ladder).,man,painting,column,ladder,6,FED_20200205a_3T2,7,51
SPROD,5241718422.jpg,19,1,6,0,a man is runnign on treadmill,a man is running on treadmill,a man /is running/ on treadmill,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is running on a treadmill.,man,running,,treadmill,6,FED_20200205a_3T2,8,58
SPROD,5669914204.jpg,13,1,6,0,a kid is looking through a telescope,a kid is looking through a telescope,a kid /is looking/ through a telescope,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (young) boy is looking through a telescope.,boy,looking,,telescope,6,FED_20200205a_3T2,9,65
SPROD,126594141.jpg,26,1,6,0,a girl is tieing shoe on soccor field,a girl is tying shoe on soccer field,a girl /is tying/ shoe on soccer field,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A woman is tying her shoe (on a soccer field).,woman,tying,shoe,field,6,FED_20200205a_3T2,43,230
SPROD,4896173039.jpg,22,1,6,0,a woman is reading a book,a woman is reading a book,a woman/ is reading/ a book,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is reading a book.,woman,reading,book,outside,6,FED_20200205a_3T2,44,237
SPROD,4607606901.jpg,3,1,6,0,a girl is petting a deer?\,a girl is petting a deer,a girl /is petting/ a deer,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (young) girl is petting a deer.,girl,petting,deer,,6,FED_20200205a_3T2,45,244
SPROD,4050265867.jpg,18,1,6,0,a baby is yawning,a baby is yawning,a baby /is yawning/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A baby is yawning.,baby,yawning,,,6,FED_20200205a_3T2,46,251
SPROD,6338733.jpg,84,2,4,0,f nfi pk,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A woman is holding a stop sign.,woman,holding,stop sign,,3,FED_20191204a_3T2,14,72
SPROD,4715971264.jpg,88,2,4,0,bgi p l,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A (young) man is juggling (three balls).,man,juggling,balls,,3,FED_20191204a_3T2,15,79
SPROD,6915921596.jpg,114,2,4,0,ekbdi pd,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A woman is grooming/brushing a horse.,woman,grooming/brushing,horse,mane/hair,3,FED_20191204a_3T2,16,86
SPROD,4464176007.jpg,119,2,4,0,bfi pm trf;m,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A man is sitting on a bench reading the newspaper.,man,sitting/reading,newspaper,bench,3,FED_20191204a_3T2,17,93
SPROD,4400746838.jpg,71,2,4,0,1,1,1,??,Incomplete,Incomplete,Incomplete,Incomplete,A young girl is covering her eyes.,girl,covering,eyes,hand,3,FED_20191204a_3T2,35,202
SPROD,4555514125.jpg,86,2,4,0,ltio pg vlogoky,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A man is pushing a couch down a street/sidewalk.,man,pushing,couch,sidewalk/street,3,FED_20191204a_3T2,36,209
SPROD,36979.jpg,66,2,4,0,oykolyrfltm,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A group of people are playing poker.,group,playing,poker,,3,FED_20191204a_3T2,37,216
SPROD,6094931376.jpg,100,2,4,0,"myi ];dpo,h vf",??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A group of people are hiking (up a mountain/trail).,group,hiking,,mountain/trail,3,FED_20191204a_3T2,38,223
SPROD,4121133646.jpg,45,1,9,0,looking a a rock,looking at a rock,/looking/ at a rock,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A boy is using a magnifying glass to look at a rock.,boy,using,magnifying glass,rock,3,FED_20200130d_3T2,6,28
SPROD,4855357158.jpg,23,1,9,0,canoing,canoing,canoing,1,Gerund,NA,0,NA,A man is carrying a canoe.,man,carrying,canoe,,3,FED_20200130d_3T2,7,35
SPROD,6721214117.jpg,41,1,9,0,bowling,bowling,bowling,1,Gerund,NA,0,NA,A man is bowling.,man,bowling,,,3,FED_20200130d_3T2,8,42
SPROD,4621100791.jpg,5,1,9,0,sleeping outside,sleeping outside,/sleeping/ outside,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is sleeping on a chair/bench (outside).,man,sleeping,bench,outside,3,FED_20200130d_3T2,9,49
SPROD,325742196.jpg,4,1,9,0,a girl is playing iwth toys,a girl is playing with toys,a girl /is playing/ with toys,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A little girl is playing with dolls/toys.,girl,playing,toys/dolls,,3,FED_20200130d_3T2,43,246
SPROD,4678843953.jpg,32,1,9,0,a man is throwing a ax,a man is throwing a ax,a man /is throwing/ a ax,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is throwing an axe.,man,throwing,axe,,3,FED_20200130d_3T2,44,253
SPROD,41999070.jpg,46,1,9,0,dogs are swimming,dogs are swimming,dogs /are swimming/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A group of dogs are playing in a fountain/pool.,group,playing,,fountain/pool/water,3,FED_20200130d_3T2,45,260
SPROD,4580613274.jpg,34,1,9,0,a man is sweeping the stairs,a man is sweeping the stairs,a man /is sweeping/ the stairs,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is sweeping the steps.,man,sweeping,steps,,3,FED_20200130d_3T2,46,267
SPROD,6596861005.jpg,17,1,10,0,reading a map,reading a map,/reading/ a map,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is reading a map.,woman,reading,map,water,4,FED_20200130d_3T2,10,58
SPROD,7579008108.jpg,53,1,10,0,a man is jumping from a cliff,a man is jumping from a cliff,a man /is jumping /from a cliff,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is jumping (off a rock/cliff) into the water.,man,jumping,,cliff/water/ocean/water,4,FED_20200130d_3T2,11,65
SPROD,6939434967.jpg,55,1,10,0,kids are playing jjumprope,kids are playing jump rope,kids /are playing /jump rope,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Three girls are playing jump rope.,girls,playing,jump rope,,4,FED_20200130d_3T2,12,72
SPROD,4772785237.jpg,25,1,10,0,a man is sweepiong the sidewalk,a man is sweeping the sidewalk,a man/ is sweeping/ the sidewalk,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is sweeping the sidewalk.,man,sweeping,sidewalk,,4,FED_20200130d_3T2,13,79
SPROD,6915574150.jpg,6,1,10,0,a girl is holding a oothbrush,a girl is holding a toothbrush,a girl /is holding/ a toothbrush,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,4,FED_20200130d_3T2,39,216
SPROD,35268263.jpg,60,1,10,0,a woman is sweing,a woman is sewing,a woman/ is sewing/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,4,FED_20200130d_3T2,40,223
SPROD,1414454789.jpg,61,1,10,0,people are cooking,people are cooking,people/ are cooking/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,Chefs are preparing food in a kitchen.,chefs,preparing,food,kitchen,4,FED_20200130d_3T2,41,230
SPROD,4263999253.jpg,56,1,10,0,kids are shoveling snow,kids are shoveling snow,kids /are shoveling/ snow,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Two kids are shoveling snow.,kids,shoveling,snow,,4,FED_20200130d_3T2,42,237
SPROD,4580613274.jpg,34,1,3,0,TJDEKE-9JH,??,??,?,?,?,?,?,A man is sweeping the steps.,man,sweeping,steps,,3,FED_20191204c_3T2,18,102
SPROD,4705826062.jpg,49,1,3,0,RSY9JH 9VRVTSM,??,??,?,?,?,?,?,A man is eating an ice cream cone.,man,eating,ice cream cone,,3,FED_20191204c_3T2,19,109
SPROD,6110845331.jpg,24,1,3,0,FTSE9JH,??,??,?,?,?,?,?,A girl is coloring with crayons (on the floor?).,girl,coloring,,crayons/floor,3,FED_20191204c_3T2,20,116
SPROD,4766583860.jpg,38,1,3,0,DE9H9NH,??,??,?,?,?,?,?,A girl is swinging (on a swing).,girl,swinging,,swing set,3,FED_20191204c_3T2,21,123
SPROD,4585839343.jpg,44,1,3,0,DANDEPOMS,dandelions,dandelions,1,Noun,NA,NA,NA,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,3,FED_20191204c_3T2,31,172
SPROD,6681702227.jpg,33,1,3,0,GAR9CU7T,haircut,haircut,1,Noun,NA,NA,NA,A woman is cutting a man's hair.,woman,cutting,hair,man/haircut,3,FED_20191204c_3T2,32,179
SPROD,6845394024.jpg,7,1,3,0,CRSHING TEETH,brushing teeth,brushing/ teeth,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A (young) boy is brushing his teeth.,boy,brushing,teeth,,3,FED_20191204c_3T2,33,186
SPROD,4896173039.jpg,22,1,3,0,READ8HG,reading,reading,1,Gerund,NA,0,NA,A woman is reading a book.,woman,reading,book,outside,3,FED_20191204c_3T2,34,193
SPROD,7995263133.jpg,64,1,8,0,d;rrpimg vjo;f,sleeping boy,sleeping/ boy,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,5,FED_20200130a_3T2,2,14
SPROD,5194023863.jpg,28,1,8,0,got vko;f eotk,girl ?? ??,girl ?? ??,Unknown,Unknown,Unknown,Unknown,Unknown,A (little) girl is holding a snail.,girl,holding,snail,,5,FED_20200130a_3T2,3,21
SPROD,4618092593.jpg,37,1,8,0,".s, giuom,h jsot",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,Two men are shaving their heads.,men,shaving,heads,razor,5,FED_20200130a_3T2,4,28
SPROD,4704668708.jpg,15,1,8,0,"goit,;oolimh st eo,",gift ???,gift ???,Unknown,Unknown,Unknown,Unknown,Unknown,A little boy is opening a gift/present.,boy,opening,gift/present,,5,FED_20200130a_3T2,5,35
SPROD,5840187633.jpg,35,1,8,0,".a, v;armoimg varttwom,",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A little girl is walking on a treadmill.,girl,walking,,treadmill,5,FED_20200130a_3T2,47,260
SPROD,4621100791.jpg,5,1,8,0,rtedtomh,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A man is sleeping on a chair/bench (outside).,man,sleeping,bench,outside,5,FED_20200130a_3T2,48,267
SPROD,4050265867.jpg,18,1,8,0,mnamt eawning,baby yawning,baby /yawning/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A baby is yawning.,baby,yawning,,,5,FED_20200130a_3T2,49,274
SPROD,6354735653.jpg,62,1,8,0,hou tekkimh,?? Trekking,?? Trekking,Unknown,Unknown,Unknown,Unknown,NA,A man is rock climbing.,man,rock climbing,,cliff/rock,5,FED_20200130a_3T2,50,281
SPROD,2667549961.jpg,10,1,9,0,A BABY IS REACHING FOR A WATER BOTTLE,a baby is reaching for a water bottle,a baby /is reaching/ for a water bottle,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A baby is crawling (on a floor toward a water bottle).,baby,crawling,,floor/bottle,4,FED_20200205c_3T2,6,28
SPROD,6596861005.jpg,17,1,9,0,A WOMAN IS READING A MAP,a woman is reading a map,a woman /is reading/ a map,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is reading a map.,woman,reading,map,water,4,FED_20200205c_3T2,7,35
SPROD,7579008108.jpg,53,1,9,0,A MAN IS CLIFF DIVING,a man is cliff diving,a man /is cliff diving/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is jumping (off a rock/cliff) into the water.,man,jumping,,cliff/water/ocean/water,4,FED_20200205c_3T2,8,42
SPROD,4789495327.jpg,31,1,9,0,A WOMAN IS ON THE PHONE,a woman is on the phone,a woman /is/ on the phone,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is talking on a cell phone.,woman,talking,,cell phone,4,FED_20200205c_3T2,9,49
SPROD,4050265867.jpg,18,1,9,0,A BABY IS YAWNING,a baby is yawning,a baby /is yawning/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A baby is yawning.,baby,yawning,,,4,FED_20200205c_3T2,43,246
SPROD,5669914204.jpg,13,1,9,0,A YOUNG BOY IS LOOKING OUT OF A TELESCOPE,a young boy is looking out of a telescope,a young boy /is looking/ out of a telescope,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (young) boy is looking through a telescope.,boy,looking,,telescope,4,FED_20200205c_3T2,44,253
SPROD,5534793306.jpg,48,1,9,0,A MAN IS PAINTING,a man is painting,a man /is painting/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is painting a column (on a ladder).,man,painting,column,ladder,4,FED_20200205c_3T2,45,260
SPROD,4704668708.jpg,15,1,9,0,A BOY IS OPENING A GIFT,a boy is opening a gift,a boy /is opening/ a gift,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A little boy is opening a gift/present.,boy,opening,gift/present,,4,FED_20200205c_3T2,46,267
SPROD,4607606901.jpg,3,1,5,0,girl petting deer,girl petting deer,girl /petting/ deer,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A (young) girl is petting a deer.,girl,petting,deer,,2,FED_20200130b_3T2,10,58
SPROD,4585839343.jpg,44,1,5,0,blowing dandelions,blowing dandelions,/blowing/ dandelions,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,2,FED_20200130b_3T2,11,65
SPROD,6939434967.jpg,55,1,5,0,jumnping rope,jumping rope,/jumping/ rope,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,Three girls are playing jump rope.,girls,playing,jump rope,,2,FED_20200130b_3T2,12,72
SPROD,4855357158.jpg,23,1,5,0,portageing a canoe,portaging a canoe,/portaging/ a canoe,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is carrying a canoe.,man,carrying,canoe,,2,FED_20200130b_3T2,13,79
SPROD,6110845331.jpg,24,1,5,0,drawing,drawing,drawing,1,Gerund,NA,0,NA,A girl is coloring with crayons (on the floor?).,girl,coloring,,crayons/floor,2,FED_20200130b_3T2,39,216
SPROD,35268263.jpg,60,1,5,0,sewing,sewing,sewing,1,Gerund,NA,0,NA,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,2,FED_20200130b_3T2,40,223
SPROD,4678843953.jpg,32,1,5,0,throwing azees,throwing axes,/throwing/ axes,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is throwing an axe.,man,throwing,axe,,2,FED_20200130b_3T2,41,230
SPROD,29850055.jpg,50,1,5,0,playing in the sand,playing in the sand,/playing/ in the sand,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A (little/young) boy is playing in the sand.,boy,playing,,sand,2,FED_20200130b_3T2,42,237
SPROD,4786057236.jpg,78,2,6,0,a man is playing according,a man is playing accordion,a man /is playing /accordion,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A man is playing the accordion.,man,playing,accordion,,6,FED_20191120c_3T2,6,44
SPROD,4597303045.jpg,73,2,6,0,a kid is vaping on the beach,a kid is vaping on the beach,a kid /is vaping/ on the beach,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is smoking a pipe (on a rock).,man,smoking,pipe,rock/beach/water,6,FED_20191120c_3T2,7,51
SPROD,104669470.jpg,70,2,6,0,an woman is walking with a head,a woman is walking with a head,a woman/ is walking/ with a head,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is carrying a bowl of fruit on her head.,woman,carrying,bowl,fruit/head,6,FED_20191120c_3T2,8,58
SPROD,7348289414.jpg,108,2,6,0,kiddo eating an apple,kiddo eating an apple,kiddo /eating/ an apple,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A (young) child is eating an apple.,child,eating,apple,,6,FED_20191120c_3T2,9,65
SPROD,41105465.jpg,80,2,6,0,"aa m,an doing yoga",a man doing yoga,a man/ doing/ yoga,2+,Subject and Gerund Well-Formed,1,0,1,A man is meditating in a park.,man,meditating,,park,6,FED_20191120c_3T2,43,230
SPROD,4548039526.jpg,69,2,6,0,two men beaching,two men beaching,two men/ beaching/,2+,"Subject and Gerund ""Newspaper Syntax""",1,0,NA,Two (older) men are walking on the beach.,men,walking,,beach/water,6,FED_20191120c_3T2,44,237
SPROD,7773991560.jpg,83,2,6,0,a boy playing pool,a boy playing pool,a boy/ playing/ pool,2+,Subject and Gerund Well-Formed,1,0,1,A man is playing pool.,man,playing,pool,,6,FED_20191120c_3T2,45,244
SPROD,7742281954.jpg,85,2,6,0,a man playing sacophone,a man playing saxophone,a man /playing/ saxophone,2+,Subject and Gerund Well-Formed,1,0,0,A man is playing the saxophone.,man,playing,saxophone,outside/garden,6,FED_20191120c_3T2,46,251
SPROD,35268263.jpg,60,1,11,0,A WOMAN IS SWING,a woman is sewing,a woman /is sewing/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,2,FED_20200205c_3T2,14,72
SPROD,4263999253.jpg,56,1,11,0,A GIRL IS PLOWING THE SNOW,a girl is plowing the snow,a girl /is plowing/ the snow,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Two kids are shoveling snow.,kids,shoveling,snow,,2,FED_20200205c_3T2,15,79
SPROD,6918285809.jpg,21,1,11,0,A MAN IS BARTENDING,a man is bartending,a man/ is bartending/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A bartender is pouring/mixing a drink.,bartender,pouring/mixing,drink,glass,2,FED_20200205c_3T2,16,86
SPROD,7188003.jpg,51,1,11,0,A MAN IS SKIING DOWN A SLOPE,a man is skiing down a slope,a man/ is skiing/ down a slope,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A person is skiing down a steep slope.,person,skiing,slope,,2,FED_20200205c_3T2,17,93
SPROD,7380263314.jpg,1,1,11,0,A GIRL IS MAKING A SAND CASTLE,a girl is making a sand castle,a girl /is making/ a sand castle,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A girl is digging sand at the beach.,girl,digging,sand,beach/shovel,2,FED_20200205c_3T2,35,202
SPROD,4585839343.jpg,44,1,11,0,A WOMAN IS BLOWING DENDELIONS,a woman is blowing dandelions,a woman/ is blowing /dandelions,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,2,FED_20200205c_3T2,36,209
SPROD,7995263133.jpg,64,1,11,0,A BOY IS SLEEPING,a boy is sleeping,a boy /is sleeping/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,2,FED_20200205c_3T2,37,216
SPROD,3818278154.jpg,39,1,11,0,A GROUP OF PEOPLE ARE YOGAING AT THE BHEACH,a group of people are yogaing at the beach,a group of people/ are yogaing/ at the beach,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A group of people are doing yoga on a beach.,group,doing,yoga,beach,2,FED_20200205c_3T2,38,223
SPROD,6160193920.jpg,90,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A woman is smiling/laughing.,woman,smiling/laughing,,,2,FED_20200213b_3T2,22,116
SPROD,8088804992.jpg,115,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A woman is jogging/running.,woman,jogging/running,,outside,2,FED_20200213b_3T2,23,123
SPROD,5326507136.jpg,95,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A woman is painting her nails.,woman,painting,nails,,2,FED_20200213b_3T2,24,130
SPROD,4400746838.jpg,71,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A young girl is covering her eyes.,girl,covering,eyes,hand,2,FED_20200213b_3T2,25,137
SPROD,4633221176.jpg,110,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A baby is crying.,baby,crying,,,2,FED_20200213b_3T2,27,158
SPROD,281706216.jpg,67,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A man is digging a hole.,man,digging,hole,,2,FED_20200213b_3T2,28,165
SPROD,6094931376.jpg,100,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A group of people are hiking (up a mountain/trail).,group,hiking,,mountain/trail,2,FED_20200213b_3T2,29,172
SPROD,5565536413.jpg,126,2,2,0,Unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,unintelligible,A man is painting a mural.,man,painting,mural,door,2,FED_20200213b_3T2,30,179
SPROD,2667549961.jpg,10,1,7,0,"bjop;r bteoilim,",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A baby is crawling (on a floor toward a water bottle).,baby,crawling,,floor/bottle,6,FED_20200130a_3T2,22,116
SPROD,4387675829.jpg,14,1,7,0,"hnbjkp;rf ['siotop,h ']",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A girl is playing with a toy train.,girls,playing,,toy train,6,FED_20200130a_3T2,23,123
SPROD,3672940355.jpg,12,1,7,0,"0jvo;[;so9],j ,gpptns;p[;s",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A young girl is kicking a ball.,girl,kicking,ball,outside/yard/grass,6,FED_20200130a_3T2,24,130
SPROD,29850055.jpg,50,1,7,0,"o,gh] su jmrtdgbik",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A (little/young) boy is playing in the sand.,boy,playing,,sand,6,FED_20200130a_3T2,25,137
SPROD,55903788.jpg,2,1,7,0,"gggotdgro,;aerm v;rasoimh",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A woman brushes another woman's hair.,woman,brushes,hair,woman,6,FED_20200130a_3T2,27,158
SPROD,4434125934.jpg,29,1,7,0,nlu doyyimh,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A man is mowing the lawn/pushing a lawnmower.,man,moving/pushing,lawn/lawnmower,,6,FED_20200130a_3T2,28,165
SPROD,3819214047.jpg,59,1,7,0,om gop opi djk,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,6,FED_20200130a_3T2,29,172
SPROD,4121133646.jpg,45,1,7,0,"peom,",??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A boy is using a magnifying glass to look at a rock.,boy,using,magnifying glass,rock,6,FED_20200130a_3T2,30,179
SPROD,3800306463.jpg,77,2,11,0,"tje npuos jiffomc ic,ners",the boy is holding cucumbers,the boy /is holding/ cucumbers,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (little) boy is holding two large cucumbers.,boy,holding,cucumbers,,5,FED_20191120b_3T2,14,72
SPROD,7742281954.jpg,85,2,11,0,"tje ,am os [;auomgsap[jpme",the man is playing saxophone,the man /is playing/ saxophone,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A man is playing the saxophone.,man,playing,saxophone,outside/garden,5,FED_20191120b_3T2,15,79
SPROD,5925544950.jpg,125,2,11,0,"tje wp,am os fosjomg",the woman is fishing,the woman /is fishing/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A woman is fishing.,woman,fishing,,lake/river/pond,5,FED_20191120b_3T2,16,86
SPROD,3808935147.jpg,106,2,11,0,"tje npus are ki,[omg pm tje tra,[p;ome",the boys are jumping on the trampoline,the boys /are jumping/ on the trampoline,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Two boys are jumping on a trampoline.,boys,jumping,,trampoline,5,FED_20191120b_3T2,17,93
SPROD,7119846943.jpg,75,2,11,0,the gor; os ji;a jpp[omg wotj twp,the girl is hula hooping with two,the girl/ is hula hooping /with two,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A girl is hula-hooping.,girl,hula-hooping,,,5,FED_20191120b_3T2,35,202
