Condition,Item,ItemNum,List,Order,RT,Response,Run,SubjID,TrialNumber,TrialOnset,Unnamed: 11,Unnamed: 12
SPROD,8057415401.jpg,118,2,12,0,[a90kg vievoers,6,FED_20200130c_3T2,20,100,,
SPROD,5505219003.jpg,128,2,12,0,re0t0kg a [ec0te,6,FED_20200130c_3T2,21,107,,
NPROD,PRAUGHT    GWAWK    SNEASH    PRUICE,19,2,12,0,r0uit feajeroo ,6,FED_20200130c_3T2,22,116,,
NPROD,GWEAGUE    DRUS    FLIMN    SHRUV,56,2,12,0,fjefewaf9e fgr9su dp9,6,FED_20200130c_3T2,23,123,,
NPROD,GLERK    JUTH    RHALP    SHRIECE,39,2,12,0,fp[erp u9tu ria=[ s,6,FED_20200130c_3T2,24,130,,
NPROD,BLORQUE    GHIMP    PHRAUCE    TRUME,55,2,12,0,h[0rg9w f8t0k- n -u,6,FED_20200130c_3T2,25,137,,
FIX,+,0,2,12,0,0,6,FED_20200130c_3T2,26,144,,
NPROD,THOFF    SNITH    FROOP    PHIMP,28,2,12,0,ti--dd fka0rti ,6,FED_20200130c_3T2,27,158,,
NPROD,THWOQUE    SMESH    PHLIEVE    THWEMP,25,2,12,0,fg-tt=~git-ve9 fkeci =,6,FED_20200130c_3T2,28,165,,
NPROD,SLURCH    SNERTH    THWANGE    DRETE,24,2,12,0,f[9vu fjeru tue,6,FED_20200130c_3T2,29,172,,
NPROD,SPREETH    SHRADGE    PHRAW    PLONCH,4,2,12,0,f=trryu fiaru,6,FED_20200130c_3T2,30,179,,
SPROD,4464176007.jpg,119,2,12,0,readf0kg a rj=er-=er,6,FED_20200130c_3T2,31,188,,
SPROD,5194027799.jpg,79,2,12,0,i-[g0k a f-s,6,FED_20200130c_3T2,32,195,,
SPROD,4786057236.jpg,78,2,12,0,[a9-klg-ak=,6,FED_20200130c_3T2,33,202,,
SPROD,104669470.jpg,70,2,12,0,varr9kg a fr90t ,6,FED_20200130c_3T2,34,209,,
EVSEM,36979.jpg,66,2,12,0,1,6,FED_20200130c_3T2,35,218,,
EVSEM,2763354860.jpg,127,2,12,0,2,6,FED_20200130c_3T2,36,221,,
EVSEM,12142386.jpg,91,2,12,0,2,6,FED_20200130c_3T2,37,224,,
EVSEM,4400746838.jpg,71,2,12,0,2,6,FED_20200130c_3T2,38,227,,
WPROD,swing_set_03s-hula_hoop_10s-shovel_09s-hand_04s.jpg,119,2,12,0,fe0kg fet i9[a ,6,FED_20200130c_3T2,39,232,,
WPROD,snow_04s-tooth_09s.jpg,96,2,12,0,i-teeti dka=w,6,FED_20200130c_3T2,40,239,,
WPROD,train_10n-balls-272409_960_720.jpg,121,2,12,0,tra0k ja[[s,6,FED_20200130c_3T2,41,246,,
WPROD,guitar_12s-house-2365524_960_720-dish_11s.jpg,107,2,12,0,i90ara v9=s =,6,FED_20200130c_3T2,42,253,,
SCOMP,A WOMAN IS EATING NOODLES,42,2,12,0,0,6,FED_20200130c_3T2,43,262,,
SCOMP,A MAN IS PLAYING THE FLUTE,47,2,12,0,0,6,FED_20200130c_3T2,44,265,,
SCOMP,A MAN IS SWEEPING THE SIDEWALK,25,2,12,0,0,6,FED_20200130c_3T2,45,268,,
SCOMP,A MAN IS SURFING,52,2,12,0,0,6,FED_20200130c_3T2,46,271,,
WCOMP,SHOWER     MOUNTAIN     PILLOW,50,2,12,0,0,6,FED_20200130c_3T2,47,276,,
WCOMP,SWIMMING POOL     TOOTHBRUSH     SNAIL     FENCE,53,2,12,0,0,6,FED_20200130c_3T2,48,279,,
WCOMP,ARM     DEER     BUBBLE,57,2,12,0,0,6,FED_20200130c_3T2,49,282,,
WCOMP,WAVE     TRAIN     RAILING,31,2,12,0,0,6,FED_20200130c_3T2,50,285,,
FIX,+,0,2,12,0,0,6,FED_20200130c_3T2,51,288,,
FIX,+,0,1,8,0,0,2,FED_20200130d_3T2,1,0,,
SPROD,4618092593.jpg,37,1,8,0,s;having their heads,2,FED_20200130d_3T2,2,14,,
SPROD,7028846053.jpg,42,1,8,0,eating noodles,2,FED_20200130d_3T2,3,21,,
SPROD,3665441862.jpg,43,1,8,0,climbing a fence,2,FED_20200130d_3T2,4,28,,
SPROD,6110845331.jpg,24,1,8,0,drawing something,2,FED_20200130d_3T2,5,35,,
NPROD,KILCH    PHROOSE    WHALSE    THRARCE,1,1,8,0,kilch phroosewhalsethrarc,2,FED_20200130d_3T2,6,44,,
NPROD,SPREETH    SHRADGE    PHRAW    PLONCH,4,1,8,0,spreethshradgephrawplonch,2,FED_20200130d_3T2,7,51,,
NPROD,FRUZZ    PHREEP    SHRY    SPLASS,6,1,8,0,fruzzphreepsrysplass,2,FED_20200130d_3T2,8,58,,
NPROD,SWOILE    PRESH    DWESH    SKABE,35,1,8,0,swoile presh drwesh kabe,2,FED_20200130d_3T2,9,65,,
WCOMP,MAGNIFYING GLASS     BIRD     SKI,70,1,8,0,0,2,FED_20200130d_3T2,10,74,,
WCOMP,NEWSPAPER     WINDOW,115,1,8,0,0,2,FED_20200130d_3T2,11,77,,
WCOMP,BEACH     POOL TABLE     GROCERY BAG     MAP,78,1,8,0,0,2,FED_20200130d_3T2,12,80,,
WCOMP,FLUTE     PAINTBRUSH     CHICKEN,69,1,8,0,0,2,FED_20200130d_3T2,13,83,,
SCOMP,A YOUNG GIRL IS SITTING ON A RAILING,76,1,8,0,0,2,FED_20200130d_3T2,14,88,,
SCOMP,A BOY IS PLAYING THE PIANO,116,1,8,0,0,2,FED_20200130d_3T2,15,91,,
SCOMP,A MAN IS JUGGLING BALLS,91,1,8,0,0,2,FED_20200130d_3T2,16,94,,
SCOMP,A MAN IS WASHING WINDOWS,96,1,8,0,0,2,FED_20200130d_3T2,17,97,,
WPROD,saxophone_09s-couch_18n-jump_rope_05s-grass-220465_960_720.jpg,4,1,8,0,saxaphone couch jumprope yard,2,FED_20200130d_3T2,18,102,,
WPROD,fence_18s-sewing_machine_12s-suitcase_01b.jpg,12,1,8,0,fence sewing machine suitcae,2,FED_20200130d_3T2,19,109,,
WPROD,hand_04s-rock_09s-treadmill_01b-broom_04s.jpg,15,1,8,0,hand stones treadmill broom,2,FED_20200130d_3T2,20,116,,
WPROD,paintbrush_10s-shower_13n-pool_table_03s.jpg,1,1,8,0,bruch shower pool table,2,FED_20200130d_3T2,21,123,,
EVSEM,6845394024.jpg,7,1,8,0,1,2,FED_20200130d_3T2,22,132,,
EVSEM,4607606901.jpg,3,1,8,0,2,2,FED_20200130d_3T2,23,135,,
EVSEM,5220880759.jpg,16,1,8,0,1,2,FED_20200130d_3T2,24,138,,
EVSEM,7188003.jpg,51,1,8,0,2,2,FED_20200130d_3T2,25,141,,
FIX,+,0,1,8,0,0,2,FED_20200130d_3T2,26,144,,
EVSEM,5194023863.jpg,28,1,8,0,2,2,FED_20200130d_3T2,27,158,,
EVSEM,4585839343.jpg,44,1,8,0,2,2,FED_20200130d_3T2,28,161,,
EVSEM,5241718422.jpg,19,1,8,0,1,2,FED_20200130d_3T2,29,164,,
EVSEM,7819772858.jpg,52,1,8,0,2,2,FED_20200130d_3T2,30,167,,
WPROD,swimming_pool_18s-baby_05s-sidewalk-3999780_960_720.jpg,47,1,8,0,swp,2,FED_20200130d_3T2,31,172,,
WPROD,crayon_17s-hurdle-812853_960_720-shopping-874974_960_720.jpg,30,1,8,0,[crayons hurdle bag of frui,2,FED_20200130d_3T2,32,179,,
WPROD,sand_03s-bubble_01b-accordion_12s.jpg,44,1,8,0,sand bubble accordian,2,FED_20200130d_3T2,33,186,,
WPROD,toothbrush_08s-bottle_06s-camera1_04s.jpg,16,1,8,0,brush bottle camera,2,FED_20200130d_3T2,34,193,,
SCOMP,A MAN IS BLOWING BUBBLES,89,1,8,0,0,2,FED_20200130d_3T2,35,202,,
SCOMP,A LITTLE GIRL IS EATING A STRAWBERRY,104,1,8,0,0,2,FED_20200130d_3T2,36,205,,
SCOMP,A YOUNG GIRL IS ROCK CLIMBING,127,1,8,0,0,2,FED_20200130d_3T2,37,208,,
SCOMP,A MAN IS READING A BOOK,74,1,8,0,0,2,FED_20200130d_3T2,38,211,,
WCOMP,HARP     STRAWBERRY     SAND,127,1,8,0,0,2,FED_20200130d_3T2,39,216,,
WCOMP,CASTLE     DANDELION     VIOLIN,101,1,8,0,0,2,FED_20200130d_3T2,40,219,,
WCOMP,MICROSCOPE     BRUSH,116,1,8,0,0,2,FED_20200130d_3T2,41,222,,
WCOMP,SCISSORS     BEACH     POOL TABLE     PIANO,128,1,8,0,0,2,FED_20200130d_3T2,42,225,,
NPROD,TWACK    GWURP    TWONT    SPRATH,7,1,8,0, swack gwurptwontsprath,2,FED_20200130d_3T2,43,230,,
NPROD,SCRUSK    SPRIKE    FLARGE    TWUIFF,47,1,8,0,scrusk sprikeflargetwuiff,2,FED_20200130d_3T2,44,237,,
NPROD,PHLOUL    THRAB    TWARSE    TWAUN,18,1,8,0,phloulthrabtwarsetwaun,2,FED_20200130d_3T2,45,244,,
NPROD,SPLYBE    RHUNGE    VIFF    SPLIEVE,57,1,8,0,spluberhungeviffsplieve,2,FED_20200130d_3T2,46,251,,
SPROD,5584269779.jpg,57,1,8,0,riding a hourse,2,FED_20200130d_3T2,47,260,,
SPROD,6354735653.jpg,62,1,8,0,climbing a rock,2,FED_20200130d_3T2,48,267,,
SPROD,7995263133.jpg,64,1,8,0,sleeping on a striped pillow,2,FED_20200130d_3T2,49,274,,
SPROD,5840187633.jpg,35,1,8,0,waqlwalihng on a treadmill,2,FED_20200130d_3T2,50,281,,
FIX,+,0,1,8,0,0,2,FED_20200130d_3T2,51,288,,
FIX,+,0,1,7,0,0,1,FED_20200130d_3T2,1,0,,
NPROD,THRILT    PROIL    VODGE    SPLOOGE,48,1,7,0,thriltproil,1,FED_20200130d_3T2,2,14,,
NPROD,SPRASH    SPROAT    STREVE    BLAUB,37,1,7,0,sprashsproatstrecblaub,1,FED_20200130d_3T2,3,21,,
NPROD,DWURB    SMULT    ZOUTE    DREALT,46,1,7,0,dwurbsmultzouteddrealt,1,FED_20200130d_3T2,4,28,,
NPROD,PHROAL    GLETT    BLEZ    SWEACH,15,1,7,0,phrolalglettblezweach,1,FED_20200130d_3T2,5,35,,
WCOMP,FLUTE     SIDEWALK     COCKTAIL     RAILING,108,1,7,0,0,1,FED_20200130d_3T2,6,44,,
WCOMP,TOY TRAIN     ACCORDION     CHICKEN,73,1,7,0,0,1,FED_20200130d_3T2,7,47,,
WCOMP,COUCH     FISH,109,1,7,0,0,1,FED_20200130d_3T2,8,50,,
WCOMP,LEAVES     PIPE     COLUMN,71,1,7,0,0,1,FED_20200130d_3T2,9,53,,
SCOMP,A WOMAN IS WASHING THE DISHES,121,1,7,0,0,1,FED_20200130d_3T2,10,58,,
SCOMP,A WOMAN IS JOGGING,115,1,7,0,0,1,FED_20200130d_3T2,11,61,,
SCOMP,A BABY IS CRYING,110,1,7,0,0,1,FED_20200130d_3T2,12,64,,
SCOMP,A MAN IS READING THE NEWSPAPER,68,1,7,0,0,1,FED_20200130d_3T2,13,67,,
WPROD,shower_13n-matterhorn-425134_960_720-pillow_13n.jpg,50,1,7,0,showermoujntaiunpillows,1,FED_20200130d_3T2,14,72,,
WPROD,noodle_12s-matterhorn-425134_960_720-plant_09s.jpg,22,1,7,0,pagettimountainleaf,1,FED_20200130d_3T2,15,79,,
WPROD,chalk_13s-bench_06s-microscope_07s-chicken2_07s.jpg,38,1,7,0,chalkbenchmicroscopechicken,1,FED_20200130d_3T2,16,86,,
WPROD,couch_18n-bowl_08s-swimming_pool_18s-swing_set_03s.jpg,46,1,7,0,couchbowlpolswing,1,FED_20200130d_3T2,17,93,,
EVSEM,807129.jpg,47,1,7,0,1,1,FED_20200130d_3T2,18,102,,
EVSEM,4121133646.jpg,45,1,7,0,2,1,FED_20200130d_3T2,19,105,,
EVSEM,4705826062.jpg,49,1,7,0,1,1,FED_20200130d_3T2,20,108,,
EVSEM,4050265867.jpg,18,1,7,0,0,1,FED_20200130d_3T2,21,111,,
SPROD,4896173039.jpg,22,1,7,0,reading,1,FED_20200130d_3T2,22,116,,
SPROD,5241718422.jpg,19,1,7,0,womanrunning ona treadmill,1,FED_20200130d_3T2,23,123,,
SPROD,807129.jpg,47,1,7,0,playikngthe flute,1,FED_20200130d_3T2,24,130,,
SPROD,7380263314.jpg,1,1,7,0,digging in the sand,1,FED_20200130d_3T2,25,137,,
FIX,+,0,1,7,0,0,1,FED_20200130d_3T2,26,144,,
SPROD,4607606901.jpg,3,1,7,0,pettiga goat,1,FED_20200130d_3T2,27,158,,
SPROD,5543900069.jpg,40,1,7,0,blow driing hair,1,FED_20200130d_3T2,28,165,,
SPROD,33256003.jpg,36,1,7,0,lipstick,1,FED_20200130d_3T2,29,172,,
SPROD,6237339784.jpg,30,1,7,0,climbing a tree,1,FED_20200130d_3T2,30,179,,
EVSEM,7028846053.jpg,42,1,7,0,1,1,FED_20200130d_3T2,31,188,,
EVSEM,6681702227.jpg,33,1,7,0,1,1,FED_20200130d_3T2,32,191,,
EVSEM,4855357158.jpg,23,1,7,0,2,1,FED_20200130d_3T2,33,194,,
EVSEM,325742196.jpg,4,1,7,0,1,1,FED_20200130d_3T2,34,197,,
WPROD,piano_11n-frisbee_11s-stair_16s-apple_10s.jpg,7,1,7,0,[ianostairs a[[;e frosbee ,1,FED_20200130d_3T2,35,202,,
WPROD,shirt_02s-puppy_01b-house-2365524_960_720-leaves-1721983_960_720.jpg,8,1,7,0,"sjort dpg,ira;",1,FED_20200130d_3T2,36,209,,
WPROD,horse_15s-telescope_03n-shopping_cart_07s.jpg,32,1,7,0,hjjprsete;escp[e cart,1,FED_20200130d_3T2,37,216,,
WPROD,ski_06s-shopping-874974_960_720-flower_19s.jpg,28,1,7,0,slos bag f;pwer,1,FED_20200130d_3T2,38,223,,
SCOMP,TWO OLDER MEN ARE WALKING ON THE BEACH,69,1,7,0,0,1,FED_20200130d_3T2,39,232,,
SCOMP,A WOMAN IS CARRYING A BOWL OF FRUIT ON HER HEAD,70,1,7,0,0,1,FED_20200130d_3T2,40,235,,
SCOMP,A WOMAN IS ROLLER SKATING,111,1,7,0,0,1,FED_20200130d_3T2,41,238,,
SCOMP,TWO MEN ARE PLAYING CHECKERS,118,1,7,0,0,1,FED_20200130d_3T2,42,241,,
WCOMP,BEACH     ARM     ROCK     RAZOR,72,1,7,0,0,1,FED_20200130d_3T2,43,246,,
WCOMP,CHALKBOARD     DOLLS,102,1,7,0,0,1,FED_20200130d_3T2,44,249,,
WCOMP,ACCORDION     LADDER     APPLE,84,1,7,0,0,1,FED_20200130d_3T2,45,252,,
WCOMP,FRUIT     PUPPY,123,1,7,0,0,1,FED_20200130d_3T2,46,255,,
NPROD,DROOCH    WRILK    SPLISK    TROME,45,1,7,0,droochwrilk splisk trome ,1,FED_20200130d_3T2,47,260,,
NPROD,SLOIN    DWALF    THRALC    FRALK,58,1,7,0,sloin dwalf thralc fralk,1,FED_20200130d_3T2,48,267,,
NPROD,PHLIN    STRIDGE    SKUS    DWIB,51,1,7,0,plin stridge skus dwib ,1,FED_20200130d_3T2,49,274,,
NPROD,WHOOB    GLURE    SHRUTCH    SHREAL,5,1,7,0,wghoob glure shrutch shreal,1,FED_20200130d_3T2,50,281,,
FIX,+,0,1,7,0,0,1,FED_20200130d_3T2,51,288,,
FIX,+,0,2,5,0,0,2,FED_20191204a_3T2,1,0,,
WCOMP,FENCE     SKATEBOARD     HORSE     TRAMPOLINE,42,2,5,0,0,2,FED_20191204a_3T2,2,14,,
WCOMP,CELLPHONE     DEER     CUCUMBER,55,2,5,0,0,2,FED_20191204a_3T2,3,17,,
WCOMP,BIRD     RAZOR,25,2,5,0,0,2,FED_20191204a_3T2,4,20,,
WCOMP,VIOLIN     IRON     NEWSPAPER     HAND,39,2,5,0,0,2,FED_20191204a_3T2,5,23,,
NPROD,PHRYBE    SPRELM    SPLURE    PRULGE,31,2,5,0,0,2,FED_20191204a_3T2,6,28,,
NPROD,ZOOTH    GLANC    PHLOURGE    PHLIDGE,41,2,5,0,0,2,FED_20191204a_3T2,7,35,,
NPROD,GWEAGUE    DRUS    FLIMN    SHRUV,56,2,5,0,0,2,FED_20191204a_3T2,8,42,,
NPROD,SHRAIM    THUICE    SKISE    SNARSH,13,2,5,0,0,2,FED_20191204a_3T2,9,49,,
SPROD,5565536413.jpg,126,2,5,0,unintelligible,2,FED_20191204a_3T2,10,58,,
SPROD,4322110026.jpg,101,2,5,0,unintelligible,2,FED_20191204a_3T2,11,65,,
SPROD,3673032164.jpg,117,2,5,0,unintelligible,2,FED_20191204a_3T2,12,72,,
SPROD,4986581949.jpg,81,2,5,0,unintelligible,2,FED_20191204a_3T2,13,79,,
EVSEM,4610962283.jpg,97,2,5,0,1,2,FED_20191204a_3T2,14,88,,
EVSEM,5505219003.jpg,128,2,5,0,1,2,FED_20191204a_3T2,15,91,,
EVSEM,104669470.jpg,70,2,5,0,2,2,FED_20191204a_3T2,16,94,,
EVSEM,5334523454.jpg,120,2,5,0,2,2,FED_20191204a_3T2,17,97,,
WPROD,window_01b-shower_13n-chalkboard_08s.jpg,104,2,5,0,unintelligible,2,FED_20191204a_3T2,18,102,,
WPROD,snow_04s-cyprus-4026880_960_720-strawberry_04n.jpg,81,2,5,0,unintelligible,2,FED_20191204a_3T2,19,109,,
WPROD,saxophone_09s-camera1_04s-bowl_08s.jpg,92,2,5,0,unintelligible,2,FED_20191204a_3T2,20,116,,
WPROD,microscope_07s-brush_05s.jpg,116,2,5,0,unintelligible,2,FED_20191204a_3T2,21,123,,
SCOMP,A MAN IS SURFING,52,2,5,0,0,2,FED_20191204a_3T2,22,132,,
SCOMP,A WOMAN IS PUTTING ON A BOOT,63,2,5,0,0,2,FED_20191204a_3T2,23,135,,
SCOMP,A BABY IS CRAWLING ON THE FLOOR,10,2,5,0,0,2,FED_20191204a_3T2,24,138,,
SCOMP,A LITTLE BOY IS OPENING A PRESENT,15,2,5,0,0,2,FED_20191204a_3T2,25,141,,
FIX,+,0,2,5,0,0,2,FED_20191204a_3T2,26,144,,
SCOMP,A YOUNG GIRL IS CLIMBING A FENCE,43,2,5,0,0,2,FED_20191204a_3T2,27,158,,
SCOMP,A MAN IS CARRYING A CANOE,23,2,5,0,0,2,FED_20191204a_3T2,28,161,,
SCOMP,A WOMAN IS RIDING A HORSE,57,2,5,0,0,2,FED_20191204a_3T2,29,164,,
SCOMP,TWO KIDS ARE SHOVELING SNOW,56,2,5,0,0,2,FED_20191204a_3T2,30,167,,
WPROD,tree_12s-checkers_04s-treadmill_01b.jpg,76,2,5,0,unintelligible,2,FED_20191204a_3T2,31,172,,
WPROD,toothbrush_08s-cellphone_13s-map_08s.jpg,82,2,5,0,unintelligible,2,FED_20191204a_3T2,32,179,,
WPROD,lipstick_03s-flute_11s-castle-2462133_960_720-ball_05s.jpg,93,2,5,0,unintelligible,2,FED_20191204a_3T2,33,186,,
WPROD,accordion_12s-ladder_01b-apple_10s.jpg,84,2,5,0,unintelligible,2,FED_20191204a_3T2,34,193,,
EVSEM,8057415401.jpg,118,2,5,0,2,2,FED_20191204a_3T2,35,202,,
EVSEM,6160193920.jpg,90,2,5,0,2,2,FED_20191204a_3T2,36,205,,
EVSEM,4633221176.jpg,110,2,5,0,1,2,FED_20191204a_3T2,37,208,,
EVSEM,4597303045.jpg,73,2,5,0,2,2,FED_20191204a_3T2,38,211,,
SPROD,6552971469.jpg,102,2,5,0,unintelligible,2,FED_20191204a_3T2,39,216,,
SPROD,3660826540.jpg,99,2,5,0,unintelligible,2,FED_20191204a_3T2,40,223,,
SPROD,5334523454.jpg,120,2,5,0,unintelligible,2,FED_20191204a_3T2,41,230,,
SPROD,4548039526.jpg,69,2,5,0,unintelligible,2,FED_20191204a_3T2,42,237,,
NPROD,SLURCH    SNERTH    THWANGE    DRETE,24,2,5,0,unintelligible,2,FED_20191204a_3T2,43,246,,
NPROD,STRUTCH    SPRETE    SPREACE    SLEFF,59,2,5,0,unintelligible,2,FED_20191204a_3T2,44,253,,
NPROD,KNOOSH    SPLIEGE    THAIF    THOZ,60,2,5,0,unintelligible,2,FED_20191204a_3T2,45,260,,
NPROD,BLUIN    STRALF    TWUM    THRULCH,38,2,5,0,unintelligible,2,FED_20191204a_3T2,46,267,,
WCOMP,CHAIR     COCKTAIL     DEER,60,2,5,0,0,2,FED_20191204a_3T2,47,276,,
WCOMP,DOG     COLUMN     WOOD     HAIR,34,2,5,0,0,2,FED_20191204a_3T2,48,279,,
WCOMP,FRUIT     BOWLING BALL,63,2,5,0,0,2,FED_20191204a_3T2,49,282,,
WCOMP,BOWLING BALL     TREE     LIPSTICK,64,2,5,0,0,2,FED_20191204a_3T2,50,285,,
FIX,+,0,2,5,0,0,2,FED_20191204a_3T2,51,288,,
FIX,+,0,2,3,0,0,3,FED_20200213b_3T2,1,0,,
WPROD,magnifying_glass_05s-grass-220465_960_720.jpg,74,2,3,0,unintelligible,3,FED_20200213b_3T2,2,14,,
WPROD,flower_19s-train_10n.jpg,99,2,3,0,unintelligible,3,FED_20200213b_3T2,3,21,,
WPROD,bubble_01b-hand_04s-canoe_12s.jpg,83,2,3,0,unintelligible,3,FED_20200213b_3T2,4,28,,
WPROD,chalkboard_08s-doll_10s.jpg,102,2,3,0,unintelligible,3,FED_20200213b_3T2,5,35,,
SCOMP,A MAN IS ROCK CLIMBING,62,2,3,0,0,3,FED_20200213b_3T2,6,44,,
SCOMP,A BABY IS CRAWLING ON THE FLOOR,10,2,3,0,0,3,FED_20200213b_3T2,7,47,,
SCOMP,A YOUNG GIRL IS PETTING A DEER,3,2,3,0,0,3,FED_20200213b_3T2,8,50,,
SCOMP,A GIRL IS PLAYING WITH A TOY TRAIN,14,2,3,0,0,3,FED_20200213b_3T2,9,53,,
WCOMP,WOOD     TOOTH     DANDELION,33,2,3,0,0,3,FED_20200213b_3T2,10,58,,
WCOMP,DOG     COLUMN     WOOD     HAIR,34,2,3,0,0,3,FED_20200213b_3T2,11,61,,
WCOMP,COUCH     BOWL     SWIMMING POOL     SWING SET,46,2,3,0,0,3,FED_20200213b_3T2,12,64,,
WCOMP,BIRD     APPLE     SKATEBOARD,23,2,3,0,0,3,FED_20200213b_3T2,13,67,,
NPROD,SLEZ    TWAUL    GWUG    PHRIEF,61,2,3,0,unintelligible,3,FED_20200213b_3T2,14,72,,
NPROD,DRAUTCH    BLOURSE    SHRAMN    RHONK,2,2,3,0,unintelligible,3,FED_20200213b_3T2,15,79,,
NPROD,BLUIN    STRALF    TWUM    THRULCH,38,2,3,0,unintelligible,3,FED_20200213b_3T2,16,86,,
NPROD,SPLAUGE    SCRANK    PLEETH    DRYS,23,2,3,0,unintelligible,3,FED_20200213b_3T2,17,93,,
SPROD,3660826540.jpg,99,2,3,0,unintelligible,3,FED_20200213b_3T2,18,102,,
SPROD,4390269250.jpg,104,2,3,0,unintelligible,3,FED_20200213b_3T2,19,109,,
SPROD,2047030603.jpg,82,2,3,0,unintelligible,3,FED_20200213b_3T2,20,116,,
SPROD,4555514125.jpg,86,2,3,0,unintelligible,3,FED_20200213b_3T2,21,123,,
EVSEM,5194027799.jpg,79,2,3,0,unintelligible,3,FED_20200213b_3T2,22,132,,
EVSEM,4548039526.jpg,69,2,3,0,unintelligible,3,FED_20200213b_3T2,23,135,,
EVSEM,6552971469.jpg,102,2,3,0,unintelligible,3,FED_20200213b_3T2,24,138,,
EVSEM,2763354860.jpg,127,2,3,0,unintelligible,3,FED_20200213b_3T2,25,141,,
FIX,+,0,2,3,0,0,3,FED_20200213b_3T2,26,144,,
EVSEM,8088804992.jpg,115,2,3,0,unintelligible,3,FED_20200213b_3T2,27,158,,
EVSEM,4986581949.jpg,81,2,3,0,unintelligible,3,FED_20200213b_3T2,28,161,,
EVSEM,4555514125.jpg,86,2,3,0,unintelligible,3,FED_20200213b_3T2,29,164,,
EVSEM,3549408779.jpg,109,2,3,0,unintelligible,3,FED_20200213b_3T2,30,167,,
SPROD,41105465.jpg,80,2,3,0,unintelligible,3,FED_20200213b_3T2,31,172,,
SPROD,3652094744.jpg,65,2,3,0,unintelligible,3,FED_20200213b_3T2,32,179,,
SPROD,8189395281.jpg,111,2,3,0,unintelligible,3,FED_20200213b_3T2,33,186,,
SPROD,5505219003.jpg,128,2,3,0,unintelligible,3,FED_20200213b_3T2,34,193,,
NPROD,STRUTCH    SPRETE    SPREACE    SLEFF,59,2,3,0,unintelligible,3,FED_20200213b_3T2,35,202,,
NPROD,PLISC    SNULT    THUTCH    GWERF,43,2,3,0,unintelligible,3,FED_20200213b_3T2,36,209,,
NPROD,WHOOB    GLURE    SHRUTCH    SHREAL,5,2,3,0,unintelligible,3,FED_20200213b_3T2,37,216,,
NPROD,SMON    SPROE    PHLISH    SCROAT,8,2,3,0,unintelligible,3,FED_20200213b_3T2,38,223,,
WCOMP,VIOLIN     IRON     NEWSPAPER     HAND,39,2,3,0,0,3,FED_20200213b_3T2,39,232,,
WCOMP,BALL     TRAMPOLINE     PILLOW     VIOLIN,37,2,3,0,0,3,FED_20200213b_3T2,40,235,,
WCOMP,HOLE     DEER     SWIMMING POOL,9,2,3,0,0,3,FED_20200213b_3T2,41,238,,
WCOMP,SAXOPHONE     COUCH     JUMPROPE     LAWN,4,2,3,0,0,3,FED_20200213b_3T2,42,241,,
SCOMP,A BOY IS LOOKING THROUGH A TELESCOPE,13,2,3,0,0,3,FED_20200213b_3T2,43,246,,
